,true_output1,true_output2,pred_output1,pred_output2
7886,61794.872,61826.569,69504.72317269086,69485.06758232943
7887,354900.17,354873.02,369165.9787337051,369158.3872067035
7888,129899.7,129834.64,130154.50997333344,130144.92600000014
7889,192541.18,192526.8,185616.72356725138,185603.2415984406
7890,139713.58,139715.99,130154.50997333344,130144.92600000014
7891,281431.61,281457.52,274669.525366379,274663.15323275834
7892,114435.06,114445.48,101609.11073062735,101593.25798154983
7893,313432.42,313375.19,307448.0030952381,307425.7603296702
7894,67318.676,67263.049,69504.72317269086,69485.06758232943
7895,289320.05,289314.43,274669.525366379,274663.15323275834
7896,464358.57,464312.52,455285.4115738498,455270.39508474537
7897,270559.81,270531.54,274669.525366379,274663.15323275834
7898,206579.09,206591.81,217929.90592885367,217921.5533399206
7899,95576.88,95534.45,101609.11073062735,101593.25798154983
7900,149495.62,149464.18,156847.65178260874,156836.5041304347
7901,114509.08,114435.13,101609.11073062735,101593.25798154983
7902,210235.66,210265.23,217929.90592885367,217921.5533399206
7903,89594.652,89577.482,101609.11073062735,101593.25798154983
7904,240471.98,240451.29,247739.99689223093,247728.81476190523
7905,311821.42,311792.25,307448.0030952381,307425.7603296702
7906,369291.11,369317.92,369165.9787337051,369158.3872067035
7907,469910.62,469899.8,455285.4115738498,455270.39508474537
7908,252655.78,252651.17,247739.99689223093,247728.81476190523
7909,354018.09,354010.26,339634.8082961464,339626.06835699774
7910,472940.54,472968.55,485093.7721111117,485078.81402222347
7911,30291.489,30263.451,42709.52807038839,42681.28406310685
7912,472265.34,472247.55,485093.7721111117,485078.81402222347
7913,163961.4,163958.21,156847.65178260874,156836.5041304347
7914,165366.37,165378.4,156847.65178260874,156836.5041304347
7915,239477.65,239512.22,247739.99689223093,247728.81476190523
7916,268605.97,268571.06,274669.525366379,274663.15323275834
7917,70751.913,70745.052,69504.72317269086,69485.06758232943
7918,331996.92,331991.19,339634.8082961464,339626.06835699774
7919,414562.59,414482.29,424338.6673650791,424324.22552380926
7920,74675.837,74700.697,69504.72317269086,69485.06758232943
7921,167187.44,167191.19,156847.65178260874,156836.5041304347
